INDEX;Typologie_zone;Type_voie;Nombre_voies;Distance_capteur_voie;Position_capteurs;Presence_arbres;Feuille_arbres;Morphologie_urbaine;Hauteur_batiments;Distance_capteur_batiment;Particularite;Trafic_Routier_vehicule_leger;Trafic_Routier_poids_lourds;Trafic_Routier_2_roues;emission_moyenne_annuelle_kg_maille_an;Donnees_Cartographie
c15;centre ville historique;Intersection en T ;Rue tres etroite;inf a 1 m;Mur;NON;NON;Batiments compacts de deux cotes;R+3;0 m;Rue canyon;800;0;0;3242;24.3999996185303
c16;centre ville historique;Rue droite;Rue tres etroite;inf a 1 m;Parking 4 roues  et mur;NON;NON;Batiments compacts de deux cotes;R+3;0 m;Rue canyon;800;0;0;3242;27.7000007629395
c17;centre ville historique;Rue droite;Rue tres etroite;inf a 1 m;Parking 4 roues  et mur;Presence arbre;NON en hiver ;Batiments de un seul cote;R+3;0 m;pas de particuarite;800;0;0;3242;25.6000003814697
c18;centre ville;Rue droite;Boulevard a 3 voies de circulation et circulation bus;1 a 2 m ;Parking 4 roues et Arbre;Presence arbre;NON en hiver ;Batiments de deux cotes;R+3;1 a 2 m ;pas de particuarite;15 148;265;247;3242;39.5999984741211
c19;centre ville;Rue droite;Boulevard a 3 voies de circulation et circulation bus;1 a 2 m ;Parking 4 roues  et mur;Presence arbre;NON en hiver ;Batiments de deux cotes;R+3;1 a 2 m ;Feu;15 148;265;247;3242;27
c20;centre ville;Rue droite;Boulevard a 3 voies de circulation et circulation bus;1 a 2 m ;Parking 4 roues et Arbre;Presence arbre;NON en hiver ;Batiments de deux cotes;R+3;1 a 2 m ;Feu;15 148;265;247;3242;39.5999984741211
c21;Quartiers Commerciaux;Rue droite;Boulevard a 3 voies de circulation et circulation bus;inf a 1 m;Parking 4 roues et Arbre;Presence arbre;NON en hiver ;Batiments de deux cotes;R+3;2 a 4 m;pas de particuarite;4 804;219;80;3242;27.8999996185303
c22;Quartiers Commerciaux;Rue droite;Boulevard a 3 voies de circulation et circulation bus;inf a 1 m;Parking 4 roues et Arbre;Presence arbre;NON en hiver ;Batiments de deux cotes;R+3;2 a 4 m;Etablissement enseignement ;4 804;219;80;3242;25.6000003814697
c23;Quartiers Commerciaux;Rue droite;Boulevard a 3 voies de circulation et circulation bus;inf a 1 m;Parking 4 roues et Arbre;Presence arbre;NON en hiver ;Batiments de deux cotes;R+3;2 a 4 m;Feu;4 804;219;80;3242;26.3999996185303
c24;Quartiers Commerciaux;Rue droite;Rue moyenne a 2 voies de circulation et circulation bus;1 m;Parking 4 roues;Range arbres;NON en hiver ;Batiments de un seul cote;R+2 ;sup a  4 m;Parc ;4755;150;78;2182;22.1000003814697
c25;Quartiers Commerciaux;Rue droite;Rue moyenne a 2 voies de circulation et circulation bus;1 m;Parking 4 roues et Arbre;Range arbres;NON en hiver ;Batiments de un seul cote;R+2 ;sup a  4 m;pas de particuarite;4755;150;78;2182;22.2000007629395
c26;Quartiers Commerciaux;Rue droite;Rue moyenne a 2 voies de circulation et circulation bus;1 a 2 m ;Parking 4 roues et Arbre;Range arbres;NON en hiver ;Batiments de deux cotes;R+3;1 a 2 m ;pas de particuarite;4755;150;78;3242;22.2000007629395
c27;Quartiers Commerciaux;Rue en pente ;Rue moyenne a 2 voies de circulation et circulation bus;2 a 4 m;Parking 4 roues et Arbre;Range arbres;NON en hiver ;Batiments de deux cotes;R+2 ;sup a  4 m;Hopital;4755;150;78;2182;30.5
c28;centre ville;Rue droite;Rue  a 1 voie;inf a 1 m;Parking 4 roues;NON;NON;Batiments compacts de deux cotes;R+2 ;1 m ;Rue canyon;6�831;0;109;3242;25.7999992370605
c29;centre ville;Rue droite;Rue  a 1 voie;inf a 1 m;Parking 4 roues ;NON;NON;Batiments compacts de deux cotes;R+2 ;1 m ;Rue canyon;6�831;0;109;3242;27.1000003814697
c30;centre ville;Intersection en croix ;Rue  a 1 voie;1 a 2 m ;Parking 4 roues  et mur;NON;NON;Batiments de un seul cote;R+3;0 m;Rue canyon;6�831;0;109;3242;24.2000007629395
c31;Quartiers Peripheriques ;Rue droite;Rue moyenne a 2 voies de circulation;1 a 2 m ;Parking 4 roues ;Range arbres;Oui en hiver ;Batiments de un seul cote;R+1;1 m ;Hopital;3 498;144;58;2036;23.1000003814697
c32;Quartiers Peripheriques ;Rue droite;Rue moyenne a 2 voies de circulation;1 a 2 m ;Parking 4 roues et Arbre;Range arbres;NON en hiver ;Pas de batiments;NON;NON;Complexe sportif;3 498;144;58;2182;21.8999996185303
c33;Quartiers Peripheriques ;Rue droite;Rue moyenne a 2 voies de circulation;1 a 2 m ;Parking 4 roues et Arbre;Range arbres;NON en hiver ;Pas de batiments;NON;NON;Complexe sportif;3 498;144;58;2182;21
c34;zones residentielles;Rue droite;Rue moyenne a 2 voies de circulation et circulation bus;1 a 2 m ;Parking 4 roues et Arbre;Range arbres;Oui en hiver ;Batiments de un seul cote;R+3;sup a  4 m;Etablissement enseignement ;800;0;0;2565;18.1000003814697
c35;zones residentielles;Rue droite;Rue moyenne a 2 voies de circulation et circulation bus;1 a 2 m ;Parking 4 roues et Arbre;Range arbres;Oui en hiver ;Batiments de un seul cote;R+3;sup a  4 m;arret bus;800;0;0;2565;17.6000003814697
c36;zones residentielles;Rue droite;Rue moyenne a 2 voies de circulation et circulation bus;1 a 2 m ;Parking 4 roues et Arbre;Range arbres;Oui en hiver ;Batiments de un seul cote;R+3;sup a  4 m;Complexe sportif;800;0;0;2565;16.8999996185303
c37;centre ville historique;Intersection en croix ;Boulevard a 3 voies de circulation et circulation bus;inf a 1 m;Parking 4 roues ;Range arbres;NON en hiver ;Batiments de deux cotes;R+1;sup a  4 m;Feu;22 682;646;373;2991;30.2999992370605
c38;centre ville historique;Rue droite;Boulevard a 3 voies de circulation et circulation bus;inf a 1 m;Parking 4 roues ;NON;NON;Batiments de deux cotes;R+2;1 a 2 m ;Etablissement enseignement ;22 682;646;373;2991;31.2000007629395
c39;centre ville historique;Rue droite;Boulevard a 3 voies de circulation et circulation bus;1 a 2 m ;Parking 4 roues ;NON;NON;Batiments de deux cotes;R+2;0 m;Parc ;22 682;646;373;2991;31.5
c40;zones residentielles;Rue droite;Rue moyenne a 2 voies de circulation et circulation bus;inf a 1 m;Parking 4 roues ;Range arbres;Oui en hiver;Batiments de deux cotes; R+4;1 a 2 m ;pas de particuarite;4 272;68;69;2112;26.6000003814697
c41;zones residentielles;Rue en pente ;Rue moyenne a 2 voies de circulation et circulation bus;1 m;Parking 4 roues ;NON;NON;Batiments de deux cotes;R+1;1 m ;pas de particuarite;4 272;68;69;2112;24.2999992370605
c42;zones residentielles;Rue en pente ;Rue moyenne a 2 voies de circulation et circulation bus;1 a 2 m ;Parking 4 roues et Arbre;Range arbres;NON en hiver ;Batiments de deux cotes;R+3;1 a 2 m ;pas de particuarite;4 272;68;69;2112;24.6000003814697
c43;zones residentielles;Intersection en T ;Rue moyenne a 2 voies de circulation et circulation bus;1 a 2 m ;Parking 4 roues ;NON;NON;Batiments de deux cotes; R+4;sup a  4 m;pas de particuarite;4 272;68;69;2112;30.6000003814697
c44;zones residentielles;Intersection en T ;Rue moyenne a 2 voies de circulation et circulation bus;inf a 1 m;Parking 4 roues ;Range arbres;NON en hiver ;Batiments de deux cotes;R+3;sup a  4 m;pas de particuarite;4 272;68;69;2112;25.2999992370605
c45;zones residentielles;Intersection en T ;Rue moyenne a 2 voies de circulation et circulation bus;inf a 1 m;Parking 4 roues ;NON;NON;Batiments de deux cotes;R+3;1 a 2 m ;pas de particuarite;4 272;68;69;2112;27.2000007629395
c46;zones residentielles;Rue droite;Rue moyenne a 2 voies de circulation;inf a 1 m;Parking 4 roues ;Range arbres;NON en hiver ;Batiments de deux cotes;R+3;0 m;pas de particuarite;800;0;0;2036;21.1000003814697
c47;zones residentielles;Intersection en T ;Rue moyenne a 2 voies de circulation;inf a 1 m;Parking 4 roues et Arbre;Range arbres;NON en hiver ;Batiments de deux cotes;R+3;sup a  4 m;pas de particuarite;800;0;0;2036;21.1000003814697
