Index;Typologie_zone;Type_voie;Nombre_voies;Distance_capteur_voie;Position_capteurs;Presence_arbres;Feuille_arbres;Morphologie_urbaine;Hauteur_batiments;Distance_capteur_batiment;Particularite;Trafic_Routier_vehicule_leger;Trafic_Routier_poids_lourds;Trafic_Routier_2_roues;emission_moyenne_annuelle_kg_maille_an;Donnees_Cartographie
c66;4.0;3.0;0.0;1.0;5.0;2.0;1.0;1.0;5.0;2.0;11.0;24627.0;226.0;398.0;2991.0;33.4000015258789
c67;4.0;5.0;3.0;1.0;8.0;2.0;3.0;1.0;5.0;6.0;11.0;2921.0;432.0;54.0;2991.0;24.8999996185303
c68;1.0;2.0;1.0;3.0;5.0;0.0;0.0;3.0;1.0;5.0;4.0;800.0;0.0;0.0;1885.0;35.2999992370605
c69;1.0;3.0;4.0;3.0;5.0;2.0;1.0;3.0;1.0;5.0;7.0;4497.0;45.0;73.0;1178.0;18.6000003814697
c70;1.0;3.0;4.0;0.0;6.0;2.0;3.0;3.0;1.0;5.0;4.0;1277.0;13.0;0.0;747.0;15.5
c71;4.0;3.0;2.0;3.0;5.0;0.0;0.0;0.0;6.0;3.0;8.0;800.0;0.0;0.0;2991.0;24.5
c72;1.0;4.0;3.0;3.0;5.0;0.0;0.0;3.0;1.0;5.0;4.0;800.0;0.0;0.0;3604.0;22.0
c73;4.0;3.0;5.0;3.0;6.0;0.0;0.0;0.0;3.0;0.0;3.0;800.0;0.0;0.0;2182.0;20.6000003814697
c74;4.0;1.0;5.0;3.0;2.0;0.0;0.0;0.0;5.0;0.0;8.0;800.0;0.0;0.0;3242.0;23.1000003814697
c75;4.0;1.0;5.0;3.0;6.0;0.0;0.0;0.0;5.0;0.0;8.0;800.0;0.0;0.0;3242.0;22.7000007629395
c76;4.0;3.0;5.0;3.0;6.0;0.0;0.0;0.0;5.0;0.0;8.0;800.0;0.0;0.0;3242.0;24.3999996185303
c77;1.0;3.0;3.0;3.0;2.0;0.0;0.0;2.0;2.0;1.0;11.0;800.0;0.0;0.0;2036.0;15.8000001907349
c78;4.0;3.0;3.0;3.0;7.0;2.0;1.0;1.0;5.0;3.0;4.0;800.0;0.0;0.0;2991.0;26.5
c79;4.0;0.0;2.0;3.0;6.0;0.0;0.0;1.0;5.0;0.0;8.0;800.0;0.0;0.0;2270.0;22.7999992370605
c80;4.0;3.0;3.0;3.0;7.0;2.0;3.0;1.0;0.0;4.0;11.0;800.0;0.0;0.0;2565.0;16.7999992370605
c81;3.0;3.0;0.0;4.0;1.0;0.0;0.0;3.0;1.0;5.0;3.0;14185.0;366.0;233.0;3242.0;32.7999992370605
c82;3.0;3.0;0.0;4.0;1.0;0.0;0.0;3.0;1.0;5.0;3.0;14185.0;366.0;233.0;3242.0;33.0
c83;3.0;3.0;0.0;4.0;1.0;0.0;0.0;3.0;1.0;5.0;3.0;14185.0;366.0;233.0;3242.0;33.0
c84;3.0;3.0;0.0;4.0;1.0;0.0;0.0;3.0;1.0;5.0;3.0;14185.0;366.0;233.0;3242.0;32.7999992370605
c85;1.0;3.0;3.0;2.0;7.0;2.0;1.0;3.0;1.0;5.0;10.0;1978.0;0.0;32.0;2182.0;15.8000001907349
c86;1.0;3.0;3.0;0.0;5.0;2.0;1.0;3.0;1.0;5.0;10.0;1978.0;0.0;32.0;2182.0;17.2999992370605
c87;1.0;3.0;0.0;0.0;0.0;2.0;3.0;2.0;3.0;2.0;1.0;15429.0;0.0;247.0;3604.0;27.7999992370605
c88;1.0;2.0;1.0;0.0;7.0;2.0;3.0;3.0;1.0;5.0;3.0;4905.0;0.0;78.0;1178.0;14.3999996185303
c89;4.0;3.0;2.0;1.0;7.0;2.0;3.0;1.0;5.0;3.0;11.0;800.0;0.0;0.0;2112.0;21.3999996185303
c90;1.0;0.0;3.0;0.0;5.0;2.0;3.0;1.0;3.0;6.0;11.0;4062.0;124.0;67.0;1178.0;14.6999998092651
c91;4.0;3.0;0.0;2.0;7.0;2.0;1.0;2.0;5.0;6.0;10.0;6580.0;251.0;109.0;2182.0;18.7000007629395
c92;4.0;0.0;2.0;3.0;7.0;2.0;3.0;1.0;3.0;1.0;11.0;800.0;0.0;0.0;2991.0;22.8999996185303
c93;4.0;3.0;2.0;3.0;7.0;2.0;1.0;1.0;5.0;3.0;6.0;800.0;0.0;0.0;2991.0;26.1000003814697
c94;4.0;3.0;3.0;1.0;5.0;2.0;1.0;1.0;0.0;3.0;9.0;800.0;0.0;0.0;2991.0;27.1000003814697
c95;4.0;4.0;2.0;3.0;7.0;2.0;3.0;1.0;3.0;1.0;11.0;800.0;0.0;0.0;2270.0;19.7999992370605
c96;4.0;3.0;3.0;3.0;7.0;2.0;3.0;1.0;3.0;1.0;5.0;7530.0;5.0;121.0;2270.0;23.2999992370605
c97;4.0;3.0;5.0;3.0;6.0;2.0;1.0;1.0;3.0;1.0;3.0;800.0;0.0;0.0;2182.0;19.2999992370605
